,0,1
Newcastle-53,8.799617,-2.9965217
Newcastle-54,-3.6241975,12.09492
Newcastle-55,-7.0497236,1.9879024
Newcastle-56,9.680383,0.3958887
Newcastle-57,0.9873333,4.2018085
Newcastle-58,-6.4658194,1.3261098
Newcastle-60,-6.1260815,10.975052
Newcastle-61,-6.141973,3.2254226
Newcastle-62,10.124039,3.8651161
Newcastle-65,2.1139014,-1.2809602
Newcastle-66,11.269335,3.154753
Newcastle-67,-5.056835,5.1552215
Newcastle-68,-8.408921,3.6084037
Newcastle-70,-0.6970842,13.251422
Newcastle-71,7.5577865,-0.37811622
Newcastle-72,-5.3567605,3.0943375
Newcastle-73,6.226574,-0.6977958
Newcastle-75,12.906977,-10.637042
Newcastle-76,-7.469372,7.293779
Newcastle-77,-3.1704657,-1.3367636
Newcastle-78,12.702085,-11.561037
Newcastle-80,6.3760962,0.56555104
Newcastle-81,-3.1746566,11.159176
Newcastle-82,9.61996,-6.4314795
Newcastle-83,0.7024399,4.7074895
Newcastle-84,-9.312426,7.7704306
Newcastle-85,-8.801628,2.3878143
Newcastle-96,2.010073,4.6260157
Newcastle-97,-5.024356,8.43513
Newcastle-98,4.50299,0.75877476
Newcastle-99,0.026941886,5.708988
Newcastle-100,11.878836,-3.6362765
Newcastle-101,-5.700992,12.453504
Newcastle-102,-5.513246,3.9027023
Newcastle-103,-4.643003,12.411935
Newcastle-104,-2.4227057,12.687393
Newcastle-105,-5.588243,9.663333
Newcastle-106,-3.4055192,11.687393
Newcastle-108,10.666607,-2.1138082
Newcastle-109,10.548708,-2.3057554
Newcastle-110,15.250474,-9.008588
Newcastle-111,13.039383,-9.216091
Newcastle-112,-9.840243,6.5660534
Izmir-13,5.6688943,1.4500954
Izmir-14,12.404691,-7.929348
Izmir-15,-1.4227958,11.31804
Izmir-16,-3.173375,6.0577803
Izmir-17,-3.774642,10.552755
Izmir-18,0.8105022,-6.498744
Izmir-19,-3.9856346,8.532827
Izmir-20,-2.2270465,13.493885
Izmir-21,9.03078,2.189489
Izmir-22,-4.585888,11.574519
Izmir-23,-8.413975,6.4172606
Izmir-24,9.870569,4.882509
Izmir-25,6.295883,-4.665157
Izmir-26,8.4389,-9.178178
Izmir-28,13.718379,0.9943059
Izmir-29,-4.100443,4.964238
Izmir-30,-2.9380686,5.5729437
Izmir-31,10.213196,3.3655329
Izmir-33,-1.1681677,0.7979526
Izmir-34,-1.0891038,10.446565
Izmir-35,10.154509,1.556335
Izmir-36,11.664944,0.921376
Izmir-37,8.383989,-10.815528
Izmir-38,-1.8542167,7.1201634
Izmir-39,12.084267,-12.180333
Izmir-40,7.7297153,3.7259312
Izmir-41,4.12257,0.06593526
Izmir-42,0.47903484,8.427564
Izmir-43,11.501486,-12.5986
Izmir-44,12.981549,-2.2344952
Izmir-45,-5.100847,10.1955385
Izmir-46,7.6150055,-2.6010187
Izmir-47,-5.812681,5.4234757
Izmir-48,0.8484946,-1.1025345
Izmir-50,13.670265,-1.1160975
Izmir-52,-3.5396345,1.2218858
Izmir-87,-6.256438,2.266781
Izmir-88,-1.3391485,13.169787
Izmir-89,-0.23400337,0.8458323
Izmir-90,-4.8176036,13.440154
Izmir-91,-0.45537958,1.9647106
Izmir-92,1.7646556,0.6924166
Izmir-93,2.57608,1.9246014
Izmir-94,-4.608667,11.178941
Izmir-95,-7.5637994,10.644009
Izmir-113,5.703807,-3.2650402
Izmir-114,13.748972,-12.845462
Izmir-115,9.65159,-0.7021691
Izmir-116,1.5300622,2.121183
Izmir-117,13.737876,-8.637059
Izmir-118,-1.5022025,0.1972375
Izmir-119,13.079128,-10.01626
Izmir-120,3.592962,6.7232103
Izmir-121,11.880247,2.4644382
Izmir-122,12.385491,-12.830278
Izmir-123,10.20425,1.5347823
Izmir-124,-2.5689807,0.823522
Izmir-125,-11.257733,6.938165
Izmir-126,13.949496,-11.481388
Izmir-127,-1.8542016,7.120144
Izmir-128,0.32353115,3.0358315
Izmir-129,-1.9138119,9.545251
Izmir-130,-2.7131798,9.426969
Izmir-131,15.366115,-10.75084
Izmir-132,-0.19321516,5.4186387
Izmir-133,1.2376893,0.46282274
Izmir-134,-4.616537,6.6491637
Izmir-135,8.780952,0.59757996
Izmir-136,-0.36830395,4.421046
Izmir-137,-4.986694,12.835541
Izmir-138,12.087857,-6.886809
Izmir-139,-7.8430815,-0.7450925
Izmir-140,-4.0705533,0.7344204
Izmir-141,-1.2767172,8.504213
Izmir-142,-0.7659783,5.7217417
Izmir-143,-1.8686225,2.5258195
Izmir-144,3.683791,2.5380213
Izmir-145,3.3057399,2.604802
Izmir-146,3.465647,-2.8316927
Izmir-147,10.689927,-6.6189003
Izmir-148,13.690508,-11.392959
Izmir-149,-1.9879789,11.497786
Izmir-150,9.630763,-8.765209
Izmir-151,0.85088897,-1.1024976
Izmir-152,1.8988318,-0.29835078
Izmir-153,-6.1722083,10.264286
Izmir-154,6.5534863,2.068802
Izmir-155,-2.609813,1.3219842
Izmir-156,12.812426,-5.517534
Izmir-157,-6.800553,6.602982
Izmir-158,13.560823,0.75872815
Istambul-d1kyil1,-6.85862,4.6966944
Istambul-eoabob1,13.758086,-7.126325
Istambul-eocars1,-2.5548155,13.917895
Istambul-eoeakt1,-1.4618437,-0.86397815
Istambul-eofyil1,-7.425912,11.402549
Istambul-eohboz1,-8.682094,5.308272
Istambul-eoherk1,-8.276703,8.102488
Istambul-eohuzu1,1.5109764,2.8305445
Istambul-eoibal1,-3.4568071,7.922273
Istambul-eomrus1,-0.9293448,-2.511076
Istambul-eomtyil1,6.474994,-3.8179064
Istambul-eomyil1,-9.373755,4.2410197
Istambul-eosbar1,5.904095,-2.966582
Istambul-eosber1,-8.923369,5.328241
Istambul-eoskap1,12.091264,-1.3846481
Istambul-faladar1,3.5427253,4.232283
Istambul-falames1,7.570314,-6.886296
Istambul-falcehl1,6.722276,3.1254508
Istambul-falecir1,9.278104,-6.852221
Istambul-faledev1,-0.6872259,-0.15768223
Istambul-falekab1,-3.3957222,2.2365758
Istambul-falfsev1,-2.1189733,14.411378
Istambul-falgdon1,-1.5304292,4.9042497
Istambul-falherb1,1.0985683,5.6418447
Istambul-falmasi1,5.9217787,-1.7937003
Istambul-falmcek1,3.0648456,9.452083
Istambul-falmdem1,-2.6706257,4.1649694
Istambul-falmedi1,-6.000496,-0.7474955
Istambul-falmgun1,-0.576299,8.228919
Istambul-falmozb1,14.596952,-6.4653296
Istambul-falmyil1,11.688159,-4.29068
Istambul-falnpos1,-3.17623,4.309203
Istambul-falnsez1,-7.64928,6.4162126
Istambul-falrakk1,-3.0205963,-3.8641248
Istambul-falscan1,9.215795,-0.7748568
Istambul-falserg1,6.8468995,3.8485863
Istambul-falsgul1,-2.7304661,-0.073989764
Istambul-falskar1,11.936768,-6.1104293
Istambul-falssah1,4.6151915,-1.8065515
Istambul-faltkar1,-7.597019,4.346316
Istambul-falyakd1,10.952437,-7.26601
Istambul-falyedi1,-5.4962473,11.134603
Istambul-falymem1,1.5873667,-2.5884829
Istambul-falzbil1,8.110832,-7.153006
Istambul-falzsah1,13.247562,-7.6284447
Istambul-feabek1,-3.544784,9.542944
Istambul-febuyig1,13.736963,-10.481595
Istambul-femdal1,9.844359,-9.180837
Istambul-fesbek1,3.1377614,0.95943856
Istambul-feykar1,4.4895353,-3.8744853
Istambul-fhtun1,0.038054723,6.799702
Istambul-fmacinata1,2.7121136,-0.38204357
Istambul-fmcimtas1,-9.67223,1.1339914
Istambul-fmciskes1,13.750137,-0.48995572
Istambul-fpdemryal1,-10.976149,6.0797315
Istambul-frekakt1,10.613338,-8.69299
Istambul-ftdhaka1,-2.3646913,14.543567
Istambul-ftdnbob1,-6.1611967,4.7470937
Istambul-lathusev1,3.8987525,-6.935538
Istambul-latnurkı1,4.0350833,-6.863125
Istambul-latvekul1,4.335554,-6.678191
Istambul-paarı1,0.4108014,-0.61440253
Istambul-pacik1,10.243184,-6.8100686
Istambul-pcaka,0.4193205,-2.3007133
Istambul-pccak1,3.3235655,-4.289495
Istambul-pcgul1,8.675901,-0.42734683
Istambul-peakk1,4.177461,-1.0231878
Istambul-pegun1,10.571364,-10.210071
Istambul-pfdum1,11.659017,-12.440776
Istambul-phber1,-6.812643,6.8549204
Istambul-phbic1,12.175983,-4.404787
Istambul-phcan1,8.772272,-4.633424
Istambul-phcet1,7.960201,3.4271853
Istambul-pidum1,-4.4416146,8.510744
Istambul-pisog1,10.011271,-7.89798
Istambul-pkbay1,7.4715323,-2.105983
Istambul-pmyel11,12.832778,-2.5435195
Istambul-pnakt1,-6.8244233,2.5128558
Istambul-pnkok1,-1.0220081,4.386578
Istambul-pnsog1,14.228198,-9.750339
Istambul-pnusa1,-6.6264625,3.6383708
Istambul-podog11,10.178349,-6.2658243
Istambul-prcav1,-6.669888,6.0116377
Istambul-prsav1,-6.039808,0.18608145
Istambul-pscak1,13.918947,-6.731115
Istambul-psgul1,7.29996,-3.6665998
Istambul-psin1,-7.679643,5.7536416
Istambul-pspam1,9.639661,-9.678003
Istambul-pssen1,7.5460253,-4.506452
Istambul-pssog1,-9.61255,5.7109146
Istambul-psyil1,5.943274,-1.8685011
Istambul-pukab1,-5.2197213,7.042535
